,acc,val_acc,loss,val_loss
0,0.7790080904960632,0.8101806640625,0.4530101716518402,0.4132709503173828
1,0.8116804957389832,0.8306328654289246,0.4060528576374054,0.38146069645881653
2,0.8296329975128174,0.8302692770957947,0.3747682273387909,0.3613441288471222
3,0.8377570509910583,0.8431541919708252,0.3576382100582123,0.34623125195503235
4,0.847454845905304,0.8381320238113403,0.34087711572647095,0.34894052147865295
5,0.8525280952453613,0.8618565797805786,0.33046048879623413,0.3387945890426636
6,0.8590841889381409,0.8614020943641663,0.31737765669822693,0.3156220614910126
7,0.8643108606338501,0.8644472360610962,0.3084670603275299,0.30249232053756714
8,0.8678957223892212,0.8570843935012817,0.2995068430900574,0.3077649772167206
9,0.8717759251594543,0.8699238896369934,0.2922343909740448,0.30267414450645447
10,0.8739063739776611,0.8378366231918335,0.2867591083049774,0.3383191227912903
11,0.8768208026885986,0.8743779063224792,0.28354519605636597,0.28029659390449524
12,0.8789626359939575,0.8724917769432068,0.27767422795295715,0.2818852365016937
13,0.8809510469436646,0.862379252910614,0.2737269103527069,0.2945292294025421
14,0.8827519416809082,0.881808876991272,0.27059808373451233,0.27543434500694275
15,0.8851153254508972,0.8713555335998535,0.26526889204978943,0.2811940908432007
16,0.8859333992004395,0.8821497559547424,0.26391124725341797,0.27099356055259705
17,0.8874673247337341,0.8811953067779541,0.2593863308429718,0.27015361189842224
18,0.8889387845993042,0.8842176795005798,0.2563652992248535,0.2760135233402252
19,0.8902681469917297,0.884672224521637,0.253936767578125,0.26227062940597534
20,0.8917055130004883,0.8868310451507568,0.25135213136672974,0.270510733127594
21,0.8924269676208496,0.8830587267875671,0.24941428005695343,0.2805955410003662
22,0.8941825032234192,0.8935575485229492,0.24577561020851135,0.27923133969306946
23,0.8953585028648376,0.88385409116745,0.24349959194660187,0.27925464510917664
24,0.8962845206260681,0.8873082399368286,0.24169611930847168,0.25706976652145386
